id_grid,cellCentroidLatitude__,cellCentroidLongitude__,x2_3_7_8TCDD,Oxamyl100G_kg_kg_hectare_,Glyphosate360G_L_L_hectare_,ChromeEtCompos_s_exprim_sEnTantQueCr_,Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,HydrocarburesAromatiquesPolycycliques_HAP_,MercureEtCompos_s_exprim_sEnTantQueHg_,Particules_PM10_,ZincEtCompos_s_exprim_sEnTantQueZn_,impact_x2_3_7_8TCDD,impact_Oxamyl100G_kg_kg_hectare_,impact_Glyphosate360G_L_L_hectare_,impact_ChromeEtCompos_s_exprim_sEnTantQueCr_,impact_Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,impact_HydrocarburesAromatiquesPolycycliques_HAP_,impact_MercureEtCompos_s_exprim_sEnTantQueHg_,impact_Particules_PM10_,impact_ZincEtCompos_s_exprim_sEnTantQueZn_,impact
19,-9.995,28.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-9.995,28.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-9.995,28.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-9.995,28.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-9.995,28.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-9.995,28.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-9.995,28.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-9.995,27.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-9.995,27.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-9.995,27.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-9.995,27.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-9.995,27.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-9.995,27.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-9.995,26.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-9.995,26.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-9.995,26.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-9.995,26.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-9.995,26.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-9.995,26.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-9.995,26.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-9.995,25.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-9.995,25.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-9.995,25.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-9.995,25.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-9.995,25.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-9.995,25.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-9.995,25.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-9.995,24.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-9.995,24.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-9.995,24.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-9.995,24.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-9.995,24.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,-9.995,24.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
